Nr,Date,Time,f [Hz],Signal,Noise
85,2023-06-09,17:02:33.834,1000.12009596511,1049282.4851454215,4740.947104050207
85,2023-06-09,17:02:33.846,998.97920009097,942375.9647071962,3348.851919134285
85,2023-06-09,17:02:33.858,1001.9958968569845,794655.0603711592,2121.083674802434
85,2023-06-09,17:02:33.873,995.0536921153757,788181.9709651304,4599.484812141565
85,2023-06-09,17:02:33.889,999.6033017779599,579645.3476465499,3630.0134279415206
85,2023-06-09,17:02:33.904,-1.0,0,3123.6911843799426
85,2023-06-09,17:02:33.919,985.746209249903,134262.39074322852,2658.9025998408124
85,2023-06-09,17:02:33.926,-1.0,0,3258.9312263717993
85,2023-06-09,17:02:33.934,988.7985057740347,182107.9241385472,4515.125493972538
85,2023-06-09,17:02:33.941,998.9516553753634,276618.8532347391,3359.9266618924935
85,2023-06-09,17:02:33.948,991.4984377832727,286306.30894980405,2562.5998007717826
85,2023-06-09,17:02:33.961,998.5756885913506,453242.0048005008,3053.727103708935
85,2023-06-09,17:02:33.974,1001.6232298586928,409428.20370428846,6280.19095261134
85,2023-06-09,17:02:33.987,995.2645527935696,380303.0399605415,5256.196647503909
85,2023-06-09,17:02:34.000,997.2694965989307,392556.8847047263,3978.6095863182495
85,2023-06-09,17:02:34.007,994.071680183212,418429.4822947326,5070.030836209936
85,2023-06-09,17:02:34.014,995.7585574375103,361405.26312774775,5185.102730304399
85,2023-06-09,17:02:34.022,991.898247198866,460697.7637499054,4151.225357310724
85,2023-06-09,17:02:34.029,995.8156987103145,438456.4058031053,4381.43599931462
85,2023-06-09,17:02:34.044,1003.2489578482345,670697.924678714,5619.051936077766
85,2023-06-09,17:02:34.059,994.1613794314505,739856.2725166988,6749.371877366382
85,2023-06-09,17:02:34.074,1002.47728631277,1015610.726052907,4038.7895393348963
85,2023-06-09,17:02:34.089,1001.2842875628639,1225847.9640698393,4531.555877923386
85,2023-06-09,17:02:34.096,1003.3140793392027,816664.4439380768,3990.5078470430635
85,2023-06-09,17:02:34.104,1000.0684650097465,362836.19531683077,3419.2005255650724
85,2023-06-09,17:02:34.111,987.1623810406667,115288.08640359924,4073.5269056889456
85,2023-06-09,17:02:34.119,-1.0,0,3485.611861993777
85,2023-06-09,17:02:34.127,-1.0,0,3844.239167303945
85,2023-06-09,17:02:34.134,1004.7669285675917,66369.26860799275,3811.9403155890595
85,2023-06-09,17:02:34.142,1004.1410381010807,162738.3210708335,4208.232926816697
85,2023-06-09,17:02:34.150,1002.6363310289566,366935.1737012403,4428.61320737861
85,2023-06-09,17:02:34.162,1001.437235017244,652887.5047701516,5030.956491954906
85,2023-06-09,17:02:34.174,1001.2251464083399,478785.6179830895,4411.501343109441
85,2023-06-09,17:02:34.187,1002.5869872648639,363676.5897988018,6976.508689752474
85,2023-06-09,17:02:34.199,1000.401856461287,341295.0082462595,4131.5334585271075
85,2023-06-09,17:02:34.214,1003.9111125391104,332296.2910476157,2874.928158416903
85,2023-06-09,17:02:34.229,998.333903221365,296896.1884511149,5510.273170792892
85,2023-06-09,17:02:34.244,1000.8175883959476,328091.7241331373,3459.7704569886396
85,2023-06-09,17:02:34.259,1003.3090540692375,578860.2215681076,6656.843640795429
85,2023-06-09,17:02:34.267,1004.5861039565222,975643.0754428874,3956.4320589644935
85,2023-06-09,17:02:34.274,1000.4318154212827,1027530.0111146464,4231.1904583751775
85,2023-06-09,17:02:34.282,1002.4954474347885,801192.5151911984,4009.9007285616717
85,2023-06-09,17:02:34.289,999.677570431597,579330.5597601329,5194.366731392447
85,2023-06-09,17:02:34.301,1003.6234464459098,515023.60431902943,4459.377301444868
85,2023-06-09,17:02:34.314,995.251940045522,453102.00493855786,3628.281349472123
85,2023-06-09,17:02:34.326,997.1769712338805,555907.3550775514,3178.832563064325
85,2023-06-09,17:02:34.338,999.1369791927125,516245.3641443068,4379.921309463372
85,2023-06-09,17:02:34.346,998.283170605152,518543.9374547136,3998.471636564045
85,2023-06-09,17:02:34.354,-1.0,0,7386.798077378342
85,2023-06-09,17:02:34.362,1003.3512774909074,507278.900747951,5316.932505449049
85,2023-06-09,17:02:34.370,999.4850781384648,669867.448102628,3862.9216994925323
85,2023-06-09,17:02:34.385,1002.1867876031419,577150.982787862,4553.280337760772
85,2023-06-09,17:02:34.399,1004.8301494542336,339369.4037257871,6555.991739771051
85,2023-06-09,17:02:34.414,1003.3757051125085,224732.1893969112,5131.293387588561
85,2023-06-09,17:02:34.429,1008.645877299421,103594.84251003155,4318.965413172307
85,2023-06-09,17:02:34.436,-1.0,0,4142.407816000847
85,2023-06-09,17:02:34.444,-1.0,0,4144.114762857234
85,2023-06-09,17:02:34.451,-1.0,0,3021.95564535987
85,2023-06-09,17:02:34.458,1000.5856529813008,199886.0222957188,4012.98161334458
85,2023-06-09,17:02:34.474,1005.0178576717556,264481.08286019036,3788.7993789957036
